family,difficulty,condition,seed,success,survived,steps,unlocks,warns,wbcr,tq,n_warns,prcr
funnel_trap,hard,warning_only,5,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,6,0,0,5,0,0,1,0.0,0,1
funnel_trap,hard,warning_only,7,0,0,15,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,8,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,9,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,10,0,0,13,0,0,1,0.0,0,1
funnel_trap,hard,warning_only,11,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,12,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,13,0,0,13,0,0,1,0.0,0,1
funnel_trap,hard,warning_only,14,1,1,18,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,15,0,0,13,0,0,1,0.0,0,1
funnel_trap,hard,warning_only,16,0,0,3,0,0,1,0.0,0,1
funnel_trap,hard,warning_only,17,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,18,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,19,0,0,7,0,0,1,0.0,0,1
funnel_trap,hard,robot_belief_pre,0,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_pre,1,0,0,15,0,2,1,0.2353,17,0
funnel_trap,hard,robot_belief_pre,2,0,0,15,0,2,1,0.2353,17,0
funnel_trap,hard,robot_belief_pre,3,0,0,13,0,2,1,0.2889,15,1
funnel_trap,hard,robot_belief_pre,4,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_pre,5,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_pre,6,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_pre,7,0,0,15,0,2,1,0.2353,17,0
funnel_trap,hard,robot_belief_pre,8,0,0,13,0,2,1,0.2889,15,1
funnel_trap,hard,robot_belief_pre,9,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_pre,10,1,1,18,0,2,1,0.2,20,0
funnel_trap,hard,robot_belief_pre,11,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_pre,12,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_pre,13,0,0,13,0,2,1,0.2889,15,1
funnel_trap,hard,robot_belief_pre,14,1,1,18,0,2,1,0.2,20,0
