seed,family,variant,survived,reached_goal,steps,risky_entered,safe_branch_chosen,warn_count,unlock_count,necessary_warn,unnecessary_warn,necessary_segments,unnecessary_segments,delta_H,M_true_before,M_true_after,delta_nll_local
47,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
48,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
49,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
0,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
1,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
2,baseline_v2,legacy_bias,True,True,30,3,False,3,0,0,3,0,3,0.0,0.25,0.25,-0.6409
3,baseline_v2,legacy_bias,False,False,15,1,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
4,baseline_v2,legacy_bias,True,True,36,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
5,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
6,baseline_v2,legacy_bias,True,True,33,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
7,baseline_v2,legacy_bias,True,True,35,0,True,3,0,1,2,1,2,0.0,0.25,0.25,-0.6409
8,baseline_v2,legacy_bias,True,True,30,3,False,3,0,2,1,2,1,0.0,0.25,0.25,-0.6409
9,baseline_v2,legacy_bias,True,True,35,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
10,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
11,baseline_v2,legacy_bias,True,True,30,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6269
12,baseline_v2,legacy_bias,True,True,31,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
13,baseline_v2,legacy_bias,True,True,36,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
14,baseline_v2,legacy_bias,True,True,31,3,False,3,0,1,2,1,2,0.0,0.25,0.25,-0.6269
15,baseline_v2,legacy_bias,True,True,36,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
16,baseline_v2,legacy_bias,True,True,34,0,True,3,0,2,1,2,1,0.0,0.25,0.25,-0.638
17,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
18,baseline_v2,legacy_bias,True,True,33,0,True,3,0,2,1,2,1,0.0,0.25,0.25,-0.6409
19,baseline_v2,legacy_bias,True,True,33,0,True,3,0,1,2,1,2,0.0,0.25,0.25,-0.638
20,baseline_v2,legacy_bias,True,True,30,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
21,baseline_v2,legacy_bias,True,True,31,3,False,3,0,1,2,1,2,0.0,0.25,0.25,-0.6269
22,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
